AMASKCD,COUNT_RECOM,COUNT_TP
32429.0,121,399
32434.0,21,69
32444.0,1,42
32632.0,67,702
32746.0,26,42
32786.0,13,41
32957.0,30,137
32965.0,108,387
32980.0,35,1
32981.0,18,27
32994.0,1,0
33020.0,29,0
33026.0,44,184
33042.0,66,192
33052.0,56,290
33170.0,5,10
33174.0,64,200
37919.0,35,29
40122.0,64,406
40185.0,29,0
40196.0,59,492
40275.0,4,7
40311.0,123,320
40316.0,45,248
40319.0,78,111
40322.0,185,1032
40326.0,90,409
40331.0,0,2
40364.0,156,217
40374.0,49,202
40457.0,18,100
40458.0,105,193
40543.0,89,506
40570.0,1,0
40588.0,0,2
40589.0,17,148
40594.0,51,25
40595.0,0,1
40615.0,2,0
40722.0,193,402
40814.0,185,605
40882.0,32,319
40897.0,117,0
41044.0,27,47
41090.0,11,22
41097.0,39,96
41098.0,79,484
41131.0,91,692
41154.0,72,173
41182.0,69,791
41270.0,0,1
41310.0,66,346
41319.0,13,21
41379.0,160,505
41427.0,12,45
41519.0,0,3
41588.0,73,214
41657.0,8,34
41683.0,23,67
41705.0,17,31
41799.0,4,26
41866.0,44,186
41961.0,132,483
41981.0,34,126
41982.0,1,0
42024.0,118,662
42212.0,94,324
42272.0,11,39
42281.0,1,0
42400.0,3,0
42413.0,18,98
42416.0,36,69
42437.0,136,345
42472.0,28,169
42487.0,50,1005
42505.0,17,48
42523.0,17,107
42545.0,305,758
42600.0,0,1
42651.0,55,169
42710.0,143,417
42750.0,26,80
42769.0,46,266
42816.0,99,431
42843.0,22,50
42852.0,11,94
42853.0,1,0
42912.0,20,62
42929.0,77,311
42946.0,227,1067
42981.0,134,605
43021.0,131,186
43110.0,2,9
43197.0,2,27
43207.0,78,289
43227.0,60,36
43257.0,101,277
43270.0,105,330
43282.0,90,400
43329.0,4,4
43366.0,81,270
43389.0,1,8
43401.0,43,86
43520.0,0,1
43527.0,20,173
43594.0,30,306
43602.0,2,8
43608.0,10,37
43633.0,125,631
43644.0,62,4
43654.0,46,127
43695.0,32,65
43698.0,48,635
43721.0,3,5
43767.0,15,27
43880.0,18,41
43891.0,12,44
43915.0,3,5
43957.0,8,42
44038.0,18,0
44121.0,47,455
44187.0,0,7
44220.0,0,6
44250.0,38,172
44297.0,9,12
44304.0,7,0
44346.0,29,100
44419.0,72,393
44428.0,16,1
44437.0,8,16
44488.0,17,84
44517.0,125,516
44520.0,174,557
44580.0,2,4
44582.0,9,34
44717.0,75,179
44730.0,46,114
44771.0,7,31
44775.0,225,572
44795.0,13,39
44911.0,1,0
44913.0,9,22
44954.0,90,775
44985.0,23,52
44997.0,6,7
45017.0,47,583
45080.0,8,16
45135.0,162,1704
45137.0,4,38
45147.0,81,264
45179.0,0,2
45212.0,19,50
45215.0,4,0
45217.0,77,161
45242.0,151,615
45243.0,2,7
45271.0,84,356
45282.0,38,142
45312.0,32,86
45396.0,187,1935
45405.0,63,90
45478.0,22,42
45481.0,37,58
45497.0,1,8
45527.0,0,1
45585.0,52,407
45610.0,9,27
45615.0,181,420
45623.0,1,0
45630.0,209,1179
45645.0,34,113
45654.0,0,1
45680.0,5,10
45710.0,19,159
45722.0,26,96
45742.0,33,227
45766.0,34,78
45794.0,17,160
45796.0,174,666
45828.0,17,31
45838.0,0,1
45868.0,116,794
45897.0,4,1
45934.0,50,48
45988.0,46,220
46025.0,1,11
46048.0,42,87
46101.0,26,72
46144.0,132,610
46150.0,46,155
46175.0,28,132
46176.0,183,694
46183.0,8,10
46243.0,4,9
46284.0,22,43
46334.0,6,6
46386.0,6,8
46402.0,33,131
46403.0,77,447
46404.0,5,21
46414.0,62,94
46416.0,46,183
46430.0,40,149
46442.0,136,511
46503.0,28,109
46509.0,226,712
46540.0,240,512
46560.0,49,123
46639.0,2,0
46707.0,1,1
46745.0,4,9
46766.0,31,35
46812.0,134,1014
46841.0,3,37
46851.0,42,304
46853.0,110,501
46894.0,159,977
46923.0,1,17
46946.0,12,0
