ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
ARFSTROM J,BURNS,0,1
ARFSTROM J,RBCDOMIN,76,1500
ARGENTO M,CRAIG,52,122
ARGENTO M,LAKES,48,263
ARGOTE U,JPMORGAN,5,40
ARGOTE U,SANINVLC,2,5
ARGYRIDES A,OLMSTEAD,16,91
ARIAS D,STIFEL,35,253
ARIAS N,IMTRUST,2,3
ARIF A,ALTACORP,1,0
ARIF A,FRIEDMAN,40,90
ARIF A,SPROTTSE,16,15
ARIF A,STIFEL,164,249
"ARIF, CM A",ALTACORP,1,0
ARITA D,LAWRENCE,14,145
ARIZTIA A,SANINVLC,0,1
ARMACOST C,POORSTAN,64,79
ARMBRUSTER C,BRILEY,2,3
ARMENT P,AMERTECH,26,139
ARMENT P,CFRANOWM,0,13
ARMENT P,CRTCAP,16,22
ARMENT P,STERNE,30,109
ARMES C,BUCK,0,3
ARMITAGE C,MERRILL,3,9
ARMSTRONG J,ARMSTRO,12,13
ARMSTRONG J,CLUSA,60,393
ARMSTRONG J,FBOSTON,2,7
ARMSTRONG J,GOLDMAN,26,323
ARMSTRONG J,VERTRESP,41,100
ARMSTRONG N,FRIEDMAN,6,57
ARMSTRONG W,CLKA,79,230
"ARMSTRONG, CF J",GOLDMAN,24,0
ARMSTRONG-WHI T,CANACCOR,7,0
ARNFIELD C,FBOSTON,2,0
ARNOLD A,ODEON,28,48
ARNOLD C,FBOSTON,35,218
ARNOLD C,MORGAN,1,4
ARNOLD D,SANDLER,20,153
ARNOLD J,LAWRENCE,129,864
ARNOLD J,MERRILL,64,163
ARNOLD J,RBCDOMIN,44,439
ARNOLD J,SIDOTI,0,1
ARNOLD J,VERTRESP,25,188
ARNOLD M,EDJONES,2,0
ARNOLD M,PIPER,46,127
ARNSTEIN B,JPMORGAN,3,15
ARNSTEIN W,JEFFEREG,1,0
ARON M,ZELMAN,3,0
ARORA S,RAFFERTY,6,17
AROUNIAN Y,CFRANOWM,0,1
AROUNIAN Y,OLMSTEAD,41,344
AROUNIAN Y,RBCDOMIN,0,3
ARROW A,LAZARD,1,0
ARROWOOD R,MACQUARI,0,2
ARSENYEV S,GOLDMAN,8,38
ARTHUR D,EVERCO,48,206
ARTHUR D,HUBER,33,244
ARTHUR S,RBCDOMIN,14,116
ARTHUZO O,SANINVLC,3,2
ARTYOM M,VELES,3,0
ARUN S,MERRILL,5,0
ARUTYUNOVA K,DAVIDSON,0,1
ARUTYUNOVA K,RMG,2,3
ARYA V,FBOSTON,0,1
ARYA V,MERRILL,202,1341
ASAD D,FBOSTON,0,1
ASAD D,MERRILL,17,74
ASAEDA J,POORSTAN,55,81
ASCHEHOUG H,DNC,4,11
ASCHENBECK J,GHUNTER,11,40
ASCHOFF J,BREAN,99,389
ASCHOFF J,CRUTTEN,29,115
ASCHOFF J,NATLSEC,27,28
ASHLEY SMITH E,ARGUS,7,0
ASKEW D,WNDRLICH,13,16
ASKEW G,STIFEL,80,167
ASKEW/DEVITT,STIFEL,3,6
ASLAM F,STEPHENS,158,447
ASLAM F,WEALTHMO,0,1
ASPESI C,BERN,3,13
ASSUMPCAO M,ITAU,55,79
ASSUMPCAO M,MERRILL,18,20
ASTLE T,BYRON,2,1
ASTRACHAN M,MAINFRST,1,1
ASTRACHAN M,ROBINSON,0,1
ASTRACHAN M,STIFEL,65,665
ASUMENDI J,JPMORGAN,6,9
ASUNCION B,HAYWOOD,11,0
ATCHESON W,STIFEL,0,1
ATKIN J,RBCDOMIN,118,817
ATKINS F,ROBINSON,60,219
ATKINS J,CFRANOWM,0,1
ATKINS J,STEPHENS,83,931
ATKINSON N,CLARUS,4,10
ATKINSON N,FRIEDMAN,0,1
ATKINSON N,LOEWEN,8,19
ATKINSON S,BURNS,106,296
ATKINSON S,DEACON,41,77
ATORINO E,THEBENCH,70,323
ATTAVAR A,JEFFEREG,2,1
ATTUCH R,FBOSTON,3,8
ATTUCH R,FRCLAYSC,9,53
ATWELL W,GHUNTER,22,8
ATWELL W,MABON,5,4
AU J,ABCISEC,3,3
AUBERT D,DNC,6,12
AUBIN E,MORGAN,0,0
AUBUCHON D,FBOSTON,0,1
AUDI C,CFRANOWM,0,1
AUDI C,SANINVLC,57,196
AUDI M,SANINVLC,2,3
AUDI/ALMEIDA,SANINVLC,10,25
AUERBACH G,FBOSTON,22,70
AUERBACH G,ISIGROUP,20,69
AUERBACH G,MERRILL,7,10
AUERBACH G,VIRGINIA,0,1
AUGESTAD T,ARCTIC,3,5
AUGUSTINE C,BEAR,4,7
AUGUSTINE C,JEFFEREG,2,5
AUJLA S,FBOSTON,2,2
AURAND G,NOBE,5,12
AUSTER M,FBOSTON,66,225
AUTHIE L,ODDO,0,1
AUTY S,BRILEY,0,1
AUTY S,JPMORGAN,290,1338
AUTY S,MCDONALD,0,1
AUTY S,MOFFETT,24,54
AVALOS K,GOEPEL,1,0
AVAYU Y,SANINVLC,0,2
AVELLANEDA IZ O,IMTRUST,1,0
AVENDANO J,MERRILL,13,76
AVERY A,WOODGUND,11,28
AVILIO J,KAUFBRO,15,45
AVRAHAM T,CLALFINA,14,14
AVRAHAM T,FRCLAYSC,0,1
AXEN M,EVLI,1,1
AYAZ G,JPMORGAN,2,4
AYDIN J,MCDONALD,66,266
AYZAGUER J,ALLARIA,12,24
AZAR A,LAWRENCE,9,57
AZER V,OLMSTEAD,0,1
AZEVEDO L,BRADESCO,18,27
AZEVEDO M,SANINVLC,9,12
AZEVEDO M,WHEAT,0,1
BAADE H,DAVIDSON,3,10
BAATVIK I,FORTNED,1,1
BABCOCK J,MERRILL,37,234
BABE T,HALLUM,1,9
BABER G,PIPER,20,274
BABER G,SIMMONS,17,17
BABU M,FGS,5,0
BABURECK S,EXANE,1,1
BABURECK/RAME,EXANE,3,0
BABURECK/RAMEL,EXANE,0,8
BACCHUS N,RAYMOND,2,5
BACH A,VIRGINIA,46,50
BACHMAN D,LONGBOW,14,32
BACHMAN K,BURNS,110,1194
BACHMAN K,CFRANOWM,0,6
BACHMAN K,GKM,39,617
BACHMAN M,AURIGA,31,73
BACHMAN M,AVIAN,26,27
BACHMAN M,PACCREST,12,20
BACHMAN R,RBCDOMIN,0,5
BACHMANN J,HOWARD,97,667
BACHMANN K,GKM,2,0
BACHMANN M,AVIAN,13,0
BACKER M,ASCENDIA,18,21
BACKER M,HUDSONSQ,22,45
BACKER M,RESASSOC,18,27
BACKER M,SIDOTI,21,57
BACKER M,WMSMITH,0,1
BACKER M,ZACKSINV,9,52
BADISHKANIAN G,CFRANOWM,0,2
BADISHKANIAN G,CORREDOR,0,1
BADISHKANIAN G,LAWRENCE,0,1
BADISHKANIAN G,WOLFE,55,535
BADOCCO M,MERRILL,8,53
BADRI S,FBOSTON,49,389
BAE S,FCJINVES,0,1
BAER J,MORGAN,40,208
BAFNA D,VALUEIP,1,1
BAGGA A,HALLUM,40,110
BAGGA A,LAZARD,20,34
BAGGIO A,JPMORGAN,81,261
BAGGIO A,LAWRENCE,0,1
BAGNELL B,MACQUARI,6,18
BAGRI V,CFRANOWM,0,1
BAGRI V,JEFFEREG,1,1
BAGRI V,NEEDHAM,13,38
BAGRI/GILL,NEEDHAM,1,0
BAGSHAW E,ARETE,6,7
BAHAMONDES G,LAWRENCE,34,178
BAHARI H,CFRANOWM,12,14
BAI J,CMBSEC,3,0
BAI V,CHINARE,0,0
BAI Y,CICC,7,13
BAILEY D,GOLDMAN,30,170
BAILEY J,ISIGROUP,99,118
BAILEY J,JEFFEREG,79,357
BAILEY J,WHEAT,94,306
BAILEY R,GOLDMAN,4,33
BAILIN J,FBOSTON,8,47
BAILLIE J,SOGENED,8,23
BAIN D,AEGISCAP,9,21
BAIN D,CRTCAP,11,21
BAIN D,CRUTTEN,28,127
BAIN D,FRIEDMAN,13,73
BAIN D,LAWRENCE,0,1
BAIN D,STERNE,46,290
BAIRD K,BEAR,0,1
BAIRSTOW H,CLUSA,2,8
BAIRSTOW H,MACQUARI,1,8
BAJIKAR S,JEFFEREG,25,181
BAJWA J,ARETE,6,10
BAKANAUSKAS R,GRIFFMCB,13,21
BAKER B,GARP,67,0
BAKER C,CFRANOWM,0,1
BAKER C,FBOSTON,5,56
BAKER C,GUGGEL,25,348
BAKER J,BRILEY,55,203
BAKER J,JPMORGAN,188,724
BAKER J,SIDOTI,6,7
BAKER M,DAVIDSON,39,334
BAKER M,INSTINET,19,99
BAKER M,LAWRENCE,56,780
BAKER M,MCDONALD,0,1
BAKER M,RAYMOND,48,217
BAKER P,CFRANOWM,0,1
BAKER P,MCLEOD,8,100
BAKER P,MERRILL,3,0
