ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
SHEPARD F,DOWLING,1,0
SHEPARD J,FBOSTON,3,6
SHEPARD R,POORSTAN,63,76
SHEPHERD A,ARETE,117,163
SHEPHERD S,JPMORGAN,2,0
SHEPHERD S,SIMMONS,5,73
SHEPPARD A,CANTORFZ,27,70
SHEPPARD M,JCBSEC,2,0
"SHEPPARD, MBA A",CANTORFZ,3,0
SHERBETCHYAN S,BRILEY,11,49
SHERBETCHYAN S,FRIEDMAN,24,149
SHERF I,POFEK,3,1
SHERIDAN C,JEDAVY,1,0
SHERIDAN E,EVERCO,0,1
SHERIDAN E,GOLDMAN,61,436
SHERIDAN E,ULTRABUR,0,1
SHERIDAN E,WHEAT,0,2
SHERLUND B,CANTORFZ,9,20
SHERLUND R,NOMURAUS,38,108
SHERLUND R,OLMSTEAD,0,1
SHERMAN A,BERN,20,80
SHERMAN A,CFRANOWM,0,1
SHERMAN D,LIFSCICA,4,16
SHERMAN J,AMRO,1,2
SHERMAN R,MKMPARTN,26,72
SHEROWSKI S,GOLDMAN,48,285
SHEROWSKI S,MERRILL,2,4
SHETTY B,FGS,3,0
SHEVELEVA N,MERRILL,1,2
SHEVINS N,GOLDMAN,11,37
SHI C,NEEDHAM,12,75
SHI J,CLALEXHK,35,95
SHI J,FBOSTON,12,39
SHI J,NOMURAFH,31,29
SHI J,NOMURAUS,18,15
SHI K,GFSEC,0,2
SHI K,JEFFEREG,20,141
SHI K,PIPER,0,1
"SHI, PH.D. K",JEFFEREG,3,0
"SHI, PHD K",JEFFEREG,11,0
SHIAO S,MERRILL,11,31
SHIBUTANI C,GOLDMAN,42,243
SHIEH M,MERRILL,1,2
SHIELDS E,SANDLER,23,238
SHIELDS K,LEERINK,2,2
SHIELDS M,KEEFE,107,1411
SHIELDS M,STIFEL,41,100
"SHIELDS, FCAS M",KEEFE,19,0
SHIH A,BREAN,9,18
SHIH K,DBSFH,3,0
SHIH S,MORGAN,2,1
"SHIH, CAST K",DBSFH,0,10
SHILLAKER M,FBOSTON,8,34
SHIMEI A,CAPELEUR,7,18
SHIMON A,POFEK,2,2
SHIMP T,PIPER,2,9
SHIN D,FBOSTON,1,4
SHIN J,LAWRENCE,11,17
SHIN J,WHEAT,1,6
SHIN R,CAPELEUR,2,4
SHIN R,MORGAN,2,10
SHIN R,PACMAN,7,8
SHIN S,FBOSTON,2,9
SHIN S,GOLDMAN,6,36
SHIN S,MORGAN,1,3
SHINE A,LEVESQUE,77,2
SHING W,JPINVEST,2,1
SHINOHARA L,CAPELEUR,6,12
SHIPMAN B,JEFFEREG,37,140
SHIPMAN J,STANFIN,1,4
SHIPOVSKIKH M,INFINA,3,0
SHIRIZLY T,POFEK,4,7
SHIRREFFS B,KEEFE,9,37
SHIRVAIKAR A,CFRANOWM,0,2
SHIRVAIKAR A,EVERCO,0,1
SHIRVAIKAR A,FRIEDMAN,0,1
SHIU C,GOLDMAN,1,6
SHLISKY M,DAVIDSON,41,159
SHLISKY M,GHUNTER,100,411
SHLISKY M,GKM,0,1
SHLISKY M,SUMMCAP,29,87
SHMOIS G,LONGBOW,84,211
SHMOIS G,LOOPCAMA,49,312
SHMULIK M,BERN,10,164
SHOEMAKER R,BEAR,2,8
SHOEMAKER R,FRIEDMAN,0,1
SHOEMAKER R,MCDONALD,56,71
SHOGER E,NORTHRES,7,32
SHOJAIAN J,WOLFE,57,307
SHOLOTAN G,SBGSEC,1,0
SHONSTROM M,BATHGATE,1,13
SHONSTROM M,EMERGRO,2,7
SHOOP C,LAWRENCE,19,151
SHOOP C,MCDONALD,27,31
SHOPE B,FBOSTON,12,69
SHOPE B,GOLDMAN,44,292
SHOPE B,JPMORGAN,1,1
SHOPE B,NEEDHAM,0,0
SHORE D,RESEARCH,8,22
SHORE R,REDBURN,4,0
SHORE R,UNIGAM,3,24
SHORT K,CFRANOWM,0,1
SHORT K,FBOSTON,15,36
SHORT K,FRCLAYSC,62,291
SHORT K,FRIEDMAN,22,60
SHORT K,GKM,42,115
SHORT K,LAWRENCE,38,124
SHOVE D,GKM,61,307
SHRADER T,BTIG,56,157
SHRADER T,MABON,5,9
SHRADER T,STIFEL,38,130
SHREEDHAR V,LEVESQUE,2,0
SHRESTHA S,LAZARD,102,268
SHROTRE V,JEFFEREG,4,43
SHU L,CAPELEUR,0,3
SHU L,JPINVEST,3,8
SHU L,UNITEDSE,0,1
SHU R,JPMORGAN,1,0
SHU Z,BEREN,21,80
SHUBIN I,UNIONSEC,1,2
SHUBITZ S,EDJONES,2,0
SHUCK J,JEFFEREG,3,2
SHUKLA A,NOMURAUS,3,3
SHURTLEFF J,STIFEL,2,0
SHUTLER C,BLAIR,49,1
SHUTTLEWORTH R,MPARTNER,10,31
SHVARTSMAN M,MACQUARI,0,5
SHVETS V,LEHMAN,5,5
SHVETS V,NOMURAUS,9,50
SHYAMSUKHA S,AURIGA,32,60
SI T,MERRILL,2,11
SIANO J,FBOSTON,2,2
SIANO J,MERRILL,1,3
SIBAL S,GHUNTER,75,246
SIBAL S,WNDRLICH,0,1
SICHER P,SIDOTI,16,58
SIDDIQUE Z,GABELLCO,60,0
SIDDIQUI J,ROBINSON,3,10
SIDDIQUI R,MERRILL,0,6
SIDNEY P,FBOSTON,1,5
SIDOTI J,SIDOTI,85,476
SIEFERS R,PIPER,51,492
SIEFERS R,SANDLER,76,1244
SIEFERS S,SANDLER,35,0
SIEGEL C,ELAZAR,463,566
SIEGEL S,BURNS,38,335
SIEGEL S,CFRANOWM,0,6
SIEGEL S,INSTINET,30,133
SIEGEL S,JPMORGAN,5,18
SIEGEL S,NOMURAUS,53,403
SIEGEL S,PIPER,0,1
SIEGEL Y,FBOSTON,58,139
SIEGEL Y,WHEAT,1,0
SIEGENTHALER C,CFRANOWM,0,1
SIEGENTHALER C,FBOSTON,169,2239
SIEGENTHALER C,MERRILL,46,451
SIEGLER J,CANTORFZ,22,80
SIEGNER K,FBOSTON,38,251
SIEKMANN J,NORDLB,2,3
SIEW X,EXANE,8,41
SIGAL M,CANACCOR,2,15
SIGDAHL R,CFRANOWM,0,1
SIGDAHL R,CRAIG,37,219
SIGEE J,EXANE,4,46
SIGHINOLFI C,JEFFEREG,169,612
SIGHINOLFI C,MORGAN,0,1
SIGHINOLFI C,ROBINSON,0,2
"SIGHINOLFI, C C",JEFFEREG,8,0
SIGMAN S,FBOSTON,65,511
SIGMAN S,FRCLAYSC,23,82
SIGMAN S,GUGGEL,5,21
SILBER J,BURNS,116,1409
SILBER J,CFRANOWM,0,2
SILBER J,GKM,78,592
SILBERMAN L,FBOSTON,21,237
SILBERMAN L,LAWRENCE,17,46
SILL K,FBOSTON,15,23
SILL K,GHUNTER,19,86
SILL K,ROBINSON,24,118
SILLS B,FRCLAYSC,5,20
SILLS B,HALLUM,8,11
SILLS B,MAXIM,17,67
SILLS B,MERRILL,102,609
SILVA L,LARRAIN,3,3
SILVA T,SANINVLC,5,5
SILVEIRA N,ALLARIA,12,14
SILVER A,BEAR,0,1
SILVER A,CLALEXHK,18,126
SILVER A,CLUSA,10,90
SILVER D,CLKA,27,186
SILVER D,JPMORGAN,5,11
SILVER D,MERRILL,15,55
SILVER D,WSTREET,79,294
SILVER R,FRCLAYSC,26,109
SILVER R,LEHMAN,5,21
SILVER S,POORSTAN,43,76
SILVER Z,FRIEDMAN,25,120
SILVERBERG E,MORGAN,1,3
SILVERBERG Z,BEREN,8,16
SILVERBERG Z,MIZUSEC,3,7
SILVERMAN J,ARETE,3,3
SILVERMAN J,EURPACAP,1,0
SILVERSTEIN D,FBOSTON,0,1
SILVERSTEIN J,LAWRENCE,33,470
SILVERSTEIN J,WOLFE,90,759
SILVERSTEIN P,FBOSTON,33,170
SILVERSTEYN D,BUCK,15,47
SILVERSTEYN D,LONGBOW,111,218
SILVESTRE C,VERISEAR,7,4
SIM Z,CAPELEUR,1,0
SIMEONIDIS S,FIRSTALB,3,7
SIMEONIDIS S,MABON,20,46
SIMEONIDIS S,RBCDOMIN,27,80
SIMKINS J,FBOSTON,76,408
SIMKINS J,MACQUARI,52,233
SIMKO S,MRNGSTAR,156,17
SIMMONDS D,MERRILL,2,46
SIMMONDS J,PANME,2,0
SIMMONS R,CFRANOWM,0,1
SIMMONS R,DAVIDSON,24,99
SIMMONS R,FAHN,4,3
SIMMONS S,FAHN,3,2
SIMON J,JOLSON,7,17
SIMON J,ZACKSINV,42,93
SIMON S,BEREN,4,20
SIMON S,MORGAN,1,11
SIMONATO I,MERRILL,48,183
SIMONE R,EVERCO,3,17
SIMONITSCH T,JPMORGAN,2,25
SIMONSON B,BLAIR,3,0
SIMONSON R,BLAIR,1,0
SIMPSON B,ARETE,73,131
SIMPSON B,BLAIR,1,0
SIMPSON D,MERRILL,27,78
SIMPSON D,MORGAN,63,51
SIMPSON G,EXANE,3,25
SIMPSON G,STIFEL,4,19
SIMPSON G,WNDRLICH,23,54
SIMPSON I,SOGENED,10,35
SIMPSON K,GRIFFIN,18,67
SIMPSON K,MILLERTA,76,218
SIMPSON L,JEFFEREG,9,17
SIMPSON L,MORGAN,4,4
SIMPSON S,NORTHLAN,11,31
SIMUNI E,MOFFETT,10,55
SINCLAIR A,CANACCOR,0,1
SINCLAIR A,MERRILL,4,95
SINDEREN J,BRILEY,90,557
SINDEREN J,FRIEDMAN,32,323
SINDLER A,LAWRENCE,12,81
SINE B,CAPSTONE,7,20
SINE B,DAWSON,17,17
SINE B,DREXEL,61,115
SINE B,KEEFE,0,0
SINE B,LITCH,1,1
SINE B,PIPER,0,0
SINE B,SPARTANC,23,43
SINE B,STEPHENS,0,0
SINEGAL J,MRNGSTAR,48,0
SINGER B,GOLDMAN,423,2623
SINGER B,HAPSEC,0,1
SINGER P,FOXDCAP,2,0
SINGH A,FBOSTON,24,196
SINGH A,IIIR,17,25
SINGH A,JEFFEREG,5,32
SINGH A,JENNCAP,2,2
SINGH A,MABON,5,20
SINGH A,MERRILL,2,2
SINGH A,SINGRES,1,7
SINGH C,CAPELEUR,5,9
SINGH CHADHA S,WHEAT,3,0
SINGH G,HCWAIN,0,4
SINGH G,JOLSON,4,23
SINGH H,BTIG,22,27
SINGH H,FAHN,51,190
SINGH I,LEHMAN,0,29
SINGH I,ROBINSON,26,49
SINGH J,FBOSTON,45,176
SINGH J,ROBINSON,22,77
SINGH K,ALPHAV,6,0
SINGH M,CAPELEUR,6,20
SINGH M,CLALEXHK,2,2
SINGH M,MERRILL,0,23
SINGH N,GOLDMAN,32,81
SINGH N,LAWRENCE,2,6
SINGH P,DEACON,2,3
SINGH P,MERRILL,14,35
SINGH S,CAPELEUR,14,45
SINGH S,CFRANOWM,0,1
SINGH S,LAWRENCE,5,23
SINGH S,MORGAN,90,395
SINGH S,OLMSTEAD,23,94
SINGH S,RBCDOMIN,17,112
SINGH S,WHEAT,10,48
SINGH V,JANCO,82,93
"SINGH, MD, PH G",JOLSON,2,0
"SINGH, PH.D. G",HCWAIN,2,0
SINGHAL M,FRCLAYSC,2,3
SINGHAL M,LEHMAN,2,5
SINGHAL V,REFCO,1,0
SINGHANIA A,JPMORGAN,0,1
SINGLA M,JPMORGAN,5,0
SINGLA R,SOGENED,4,12
SINGLEHURST L,GOLDMAN,5,22
SINGLEHURST L,MORGAN,2,1
SINGZON P,JPMORGAN,13,111
SINHA A,GABELLCO,5,0
SINHA A,MERRILL,13,17
SINHA A,NORTHLAN,21,37
SINHA A,SOGENED,7,12
SINHA A,WNDRLICH,41,104
SINHA K,VERTRESP,11,49
SINHA N,CLALEXHK,1,4
SINHA P,CRISPIDE,37,73
SINHA R,CAPELEUR,2,0
SINHA R,JPMORGAN,1,0
SINHA R,NOMURAUS,3,8
SINHA S,BRILEY,95,358
SINHA S,ENAM,1,2
SINHA S,FRIEDMAN,29,82
SINHA S,JOLSON,29,66
SINISI V,MERRILL,0,27
SINISI V,MORGAN,36,241
SINKEVICIUS A,MORGAN,42,262
SIPERCO M,MACQUARI,3,3
SIPERCO M,MORGAN,0,1
SIPERCO M,RBCDOMIN,13,85
SIPKIN D,PALIRESE,31,38
SIPKIN D,SUSQUEH,62,426
SIPKIN D,TICON,56,90
SIPKIN D,WHEAT,23,1
SIPPEL C,SMBCNSAM,10,26
SIPS G,KREDIET,14,1
SIRAKOV P,THEBENCH,1,1
SIREKLOVE J,MCADAMS,6,9
SIRI K,JESUPLAM,12,16
SIRI K,JGIORDAN,1,1
SISON M,CFRANOWM,0,1
SISON M,GOLDMAN,0,1
SISON M,MCDONALD,140,612
SISON M,WHEAT,68,540
SISTO J,FBOSTON,4,18
SITARAMAN D,DAIWAUS,5,13
SITARAMAN D,FBOSTON,11,42
SITTIG T,STIFEL,1,0
SIU B,SIDOTI,12,14
SIU J,CCB,1,2
SIVACHELVAM S,MERRILL,1,8
SIVALINGAM R,LAWRENCE,1,3
SIVERSKY C,BEREN,44,213
SIVERSKY C,WHEAT,24,66
SIVERTSEN K,ARCTIC,3,0
SIVERTSEN K,PARETO,1,3
SIYA B,CAPELEUR,1,2
SJOBLOM P,CHEVREUX,4,20
SJOBLOM/ELIASON,CHEVREUX,0,1
SJOGREN E,MORGAN,7,20
SKEELS J,VIRGINIA,14,33
SKEIE K,ARCTIC,7,36
SKEIVYS T,ORION,9,2
SKIBITSKI P,ALEMBIC,75,412
SKIBITSKI P,CFRANOWM,0,13
SKIBITSKI P,DREXEL,61,355
SKIBITSKI P,FBOSTON,1,7
SKIBITSKI P,ROBINSON,28,46
SKIDMORE R,GOLDMAN,130,571
SKLAR A,RAYMOND,11,49
SKLAR P,BURNS,18,95
SKLAR P,GKM,5,0
SKOGMAN T,CARNEGIE,1,0
SKOLNICK P,CANACCOR,21,40
SKOLNICK P,DEACON,6,19
SKOLNICK P,GENUITYC,2,19
SKOLNICK S,CRTCAP,52,57
SKOLNICK S,MERRILL,0,2
SKOLNICK S,MIZUSEC,28,105
SKOLNICK S,PALIRESE,6,1
SKOR M,MORGAN,4,8
SKORNEY B,BREAN,22,35
SKORNEY B,CITASEC,0,1
SKORNEY B,HALLUM,36,72
SKORNEY B,SUSQUEH,4,2
SKOWRONSKI M,FBOSTON,2,5
SKRYABIN/KONO,ATON,1,0
SKRYABIN/KONOVALOV,ATON,0,0
SLABAUGH L,STEPHENS,2,11
SLABAUGH W,STEPHENS,101,519
SLACK B,KEEFE,32,135
SLACK J,CARISCO,12,24
SLAGLE A,JEFFEREG,34,403
SLAPE R,CANACCOR,2,12
SLATER T,LAZARD,47,158
SLEDGISTER E,FBOSTON,2,0
SLIFKA S,MORGAN,2,6
SLOAN K,MACQUARI,6,11
SLOANE A,SOGENED,7,11
SLOANE C,AVONDALE,1,2
SLORACH R,SVENSKA,2,0
SLORER O,MORGAN,457,1521
SLORER O,SOGENED,0,1
SLOT K,JYSKE,1,0
SLOWINSKI S,EXANE,64,288
SLOWINSKI S,EXECUTE,6,9
SLOWINSKI S,SOGENED,1,0
SLOWINSKI/CAS,EXANE,4,0
SLOWINSKI/CASTILLO,EXANE,0,9
SLOWINSKI/FAU,EXANE,3,0
SLOWINSKI/FAURE,EXANE,0,2
SLUTSKY S,LIFSCICA,34,93
SLUTSKY S,ROBINSON,0,1
SMALL F,POINT,64,157
SMALLEY G,JPMORGAN,2,5
SMIGIE J,RAYMOND,54,410
SMIGIE S,RAYMOND,12,0
SMIGIE/BANISH,RAYMOND,1,2
SMIGIE/HOWELL,RAYMOND,1,6
SMIGIE/MOSESM,RAYMOND,5,0
SMIGIE/MOSESMANN,RAYMOND,0,20
SMIRNOVA N,BVBANK,1,1
SMIRNOVA N,NIKOIL,2,2
SMITH A,BEREN,2,19
SMITH A,DREXEL,19,47
SMITH A,GHUNTER,17,99
SMITH A,JPMORGAN,44,372
SMITH A,MERRILL,15,59
SMITH B,JEFFEREG,4,9
SMITH C,VTBCAP,5,4
SMITH D,INVESKS,1,0
SMITH D,JOHNRICE,58,1
SMITH D,JPMORGAN,17,6
SMITH E,ARGUS,63,0
SMITH E,CANTORFZ,2,23
SMITH G,DUNWIL,26,73
SMITH G,MERRILL,26,67
SMITH G,STERNE,46,75
SMITH H,DAWSON,0,1
SMITH H,FIRSANAL,87,261
SMITH J,CANTORFZ,0,2
SMITH J,MCLEOD,27,86
SMITH J,MERRILL,51,291
SMITH J,SOGENED,14,64
SMITH K,HAYWOOD,21,4
SMITH K,RAYMOND,80,118
SMITH L,KEEFE,19,192
SMITH L,MCLEOD,39,18
SMITH M,DEACON,14,8
SMITH M,FELTL,113,396
SMITH M,GRIFFMCB,2,0
SMITH M,JOLSON,4,9
SMITH M,KANSAS,14,19
SMITH M,LAKES,21,226
SMITH M,LEVESQUE,2,7
SMITH M,MACQUARI,3,8
SMITH M,MERRILL,9,23
SMITH M,OAKFINAN,2,3
SMITH M,RBCDOMIN,2,12
SMITH M,STIFEL,23,80
SMITH P,FAIRFAX,0,1
SMITH P,MPARTNER,1,0
SMITH R,CFRANOWM,0,1
SMITH R,FOXPITT,34,150
SMITH R,JPMORGAN,35,177
SMITH R,MACQUARI,31,96
SMITH S,MERRILL,1,1
SMITH S,ZACKSINV,1,23
SMITH T,FIRSANAL,2,1
SMITH T,LEERINK,36,180
SMITH T,MORGAN,2,5
SMITH T,POORSTAN,5,5
SMITH W,JEFFEREG,5,12
SMITH/BERLIN,FIRSANAL,1,1
SMITH/DUGAN,STERNE,0,19
SMITH/GEARHART,FIRSANAL,0,10
SMITH/HOROWIT,RAYMOND,26,0
SMITH/HOROWITZ,RAYMOND,0,46
SMITH/HOROWITZ/ALB,RAYMOND,0,3
SMITHEN K,CAPELEUR,0,1
SMITHEN K,MACQUARI,94,419
SMOCK M,BLAIR,5,0
SMOLARZ S,SIDOTI,4,0
SMOLENTSEVA O,BRYAN,8,4
SMOLIN D,NIKOIL,1,2
SMOLIN D,SINARA,2,2
SMOTRICH R,BEAR,4,87
SMOTRICH R,BRILEY,0,1
SMOTRICH R,CRUTTEN,0,0
SMOTRICH R,FRCLAYSC,245,2096
SMOTRICH R,LEHMAN,26,36
SMOTRICH R,MIZUSEC,0,1
SMOTRICH/LANG,FRCLAYSC,1,0
SMOTRICH/LANGBAUM,FRCLAYSC,0,1
SMYK E,MERRILL,5,16
SMYTH M,FRIEDMAN,0,7
SNELL A,KAUFBRO,9,27
SNOWDOWNE A,MERRILL,12,73
SNOWLING M,CITASEC,2,2
SNOWLING M,FRIEDMAN,38,225
SNYDER C,CFRANOWM,0,1
SNYDER C,EXANE,0,1
SNYDER C,LAWRENCE,13,37
SNYDER C,SIDOTI,28,13
SNYDER E,CHARTERE,168,0
SNYDER E,MIDEST,2,27
SNYDER E,NORTHRES,50,182
SNYDER K,CFRANOWM,67,241
SNYDER K,JEFFEREG,0,1
SNYDER N,CLALEXHK,11,17
SNYDER R,MAXIM,32,53
SNYDER R,MILLERTA,13,13
SNYDER R,ODEON,6,7
SO C,CCB,2,15
SOARES P,CFRANOWM,0,1
SOARES P,PACMAN,2,6
SOBREIRA A,FBOSTON,2,5
SOCHOVSKY N,MERRILL,13,29
SODERBERG D,CANTORFZ,10,25
SODERBERG D,SUMMCAP,10,35
SODERFJELL L,KAUPBANK,3,8
SODERMARK/RAS,SWEDBANK,1,0
SODERSTROM A,CFRANOWM,0,1
SODERSTROM A,SIDOTI,43,189
SOETEBIER D,JMDUTTON,1,4
SOFF B,LAWRENCE,7,51
SOKEL J,JPMORGAN,4,29
SOKOL A,OLMSTEAD,23,47
SOKOLOVA V,TROIKA,4,0
SOLANO PEREZ J,MONEX,1,1
SOLCA L,BERN,6,24
SOLE J,LAWRENCE,0,1
SOLE J,MERRILL,0,2
SOLE J,MORGAN,47,238
SOLECITTO M,FRCLAYSC,6,88
SOLEIMANI A,KEEFE,20,138
SOLHEIM M,FEARNLEY,2,5
SOLIMAN T,CAPELEUR,5,17
SOLIMAN T,JBEF,0,1
SOLLOF D,FRCLAYSC,3,11
SOLLUND M,RSPLATOU,1,1
SOLOMON D,CRUTTEN,8,17
SOLORZANO C,FAHN,2,13
SOLORZANO/OLS,FAHN,1,0
SOLOVJOVA A,ORION,1,0
SOLOVYOV E,SOGENED,2,1
SOLOW L,CJSSECUR,125,690
SOLOW L,NOBE,0,1
SOLVET H,BRYAN,0,2
SOLVET H,EXANE,3,10
SOMAIYA I,WEISEL,2,0
SOMAIYA M,BURNS,36,193
SOMAIYA M,NOMURAUS,31,41
SOMAIYA M,PIPER,55,226
SOMAIYA M,WEISEL,2,94
SOMERVILLE J,GENUITYC,5,4
SOMERVILLE J,TDSI,7,0
SOMERVILLE K,BEREN,1,2
SOMMER G,HASKETT,3,9
SOMMER T,BRILEY,0,1
SOMMER T,ROBINSON,202,882
SONG A,GOLDMAN,22,52
SONG B,MERRILL,29,79
SONG J,INDUS,4,6
SONG L,CFRANOWM,0,1
SONG L,JPINVEST,1,0
SONG Q,JPINVEST,1,0
SONG R,JEFFEREG,7,132
SONG R,MERRILL,0,1
SONG R,WOLFE,0,4
SONG S,MACQUARI,20,70
SONG S,MERRILL,11,63
SONG V,FBOSTON,1,8
SONG Y,FBOSTON,2,6
SONG Y,HANWHA,2,0
"SONG, MD R",JEFFEREG,14,0
SONI A,CFRANOWM,0,1
SONI A,FBOSTON,101,568
SONI A,USCASEC,0,1
SONI A,WOODGUND,22,142
SONI J,MERRILL,2,12
SONNEK J,FRIEDMAN,1,5
SONNERLAND HA,PARETO,1,0
SONNERLAND HALAND/,PARETO,0,2
SONNIER J,BLAIR,29,6
SOO J,DAIWAUS,1,4
SOOCK S,GRIFFMCB,2,0
SOOD N,LAWRENCE,56,508
SOOD P,EURPACAP,0,1
SOOD P,MORGAN,19,77
SOOD S,LAWRENCE,3,18
SOPCAK Z,MORGAN,26,164
SORBARA G,ARETE,0,1
SORBARA G,CARISCO,17,57
SORBARA G,CFRANOWM,0,1
SORBARA G,IMPERCAP,16,22
SORBARA G,MCDONALD,1,2
SORBARA G,TOPEKA,36,289
SORBARA G,WILLIAMC,109,872
SORENSEN B,ZACKSINV,0,52
SORENSON M,HOWARD,7,13
SORENSON M,MCLEOD,24,78
SOSNICK B,GILFORD,62,4
SOSNOVSKIY N,VTBCAP,2,8
SOTIRHOS A,GABELLCO,7,0
SOTO A,SANINVLC,30,48
SOTO/CUBILLAS,SANINVLC,1,6
SOTO/NAVARRO,SANINVLC,5,4
SOUDA P,LEERINK,43,541
SOUDA P,MACQUARI,0,1
SOUER M,POORSTAN,5,0
SOUERS M,POORSTAN,43,63
SOUSA V,PLURAL,1,0
SOUTHER C,FRIEDMAN,25,196
SOUTHER/KANG,FRIEDMAN,0,1
SOUTHER/PFING,FRIEDMAN,1,0
SOZZI B,BELUS,23,29
SOZZI B,WSTREET,308,619
SPADA A,ITAU,2,1
SPADA A,PARETO,0,1
SPAGNA F,AXIAFR,51,103
SPAHN B,EVERCO,1,4
SPAHR C,CLALEXHK,9,68
SPAHR C,CLUSA,16,153
SPAHR C,LAWRENCE,3,32
SPAHR C,WHEAT,5,37
SPAK J,RBCDOMIN,139,1170
SPARACINO F,FIRSANAL,99,274
SPARENBLEK R,BLAIR,5,0
SPARTALIS S,MACQUARI,12,28
SPEAK G,EXANE,1,5
SPEAKMAN R,SHOREUK,1,0
SPEARS J,CAPSTONE,10,19
SPEARS J,GARWOOD,10,27
SPEARS J,ROBINGRP,10,30
SPECTOR J,CFRANOWM,0,2
SPECTOR J,FBOSTON,0,42
SPECTOR J,MERRILL,140,1403
SPECTOR J,NORTHRES,0,1
SPEHAR E,MERRILL,78,215
SPEISER M,BUCK,64,187
SPENCE A,EXANE,1,18
SPENCE A,JEFFEREG,3,59
SPENCE S,CENTRE,4,4
SPENCER C,MORGAN,1,1
SPENCER I,IMTRUST,2,2
SPENCER R,MERRILL,8,21
SPENGLER P,DGBANK,1,2
SPETALEN K,ARCTIC,1,0
SPILBERG D,FRCLAYSC,10,16
SPILLANE B,GOLDMAN,0,1
SPILLANE B,MERRILL,156,952
SPILLANE B,MONTSEC,7,46
SPINA E,EXANE,2,7
SPINA E,MORGAN,1,5
SPINGARN R,FBOSTON,133,1207
SPINGARN R,MELIUS,25,288
SPINOLA A,NEEDHAM,5,10
SPINOLA A,WHEAT,24,35
SPITELL J,CLARKY,1,0
SPITTEL J,ARNHOLDB,18,39
SPITTEL J,CLARKY,95,380
SPITTEL J,GHUNTER,73,159
SPITTEL J,PRITCHAR,12,17
SPITTEL J,WMJM,56,157
SPIVAK G,NEWB,1,1
SPIVAK G,NOBE,33,69
SPIVAK S,WHEAT,6,0
SPIVEY E,STEPHENS,0,4
SPONHEIMER B,GABELLCO,66,0
SPORRE G,MACQUARI,7,25
SPOTSWOOD D,SELECTEQ,1,0
SPOTSWOOD D,SHAWAA,6,7
SPRACKLIN W,CFRANOWM,0,1
SPRACKLIN W,RBCDOMIN,68,349
SPRAGUE J,FBOSTON,0,1
SPRAGUE J,VERTRESP,80,599
SPRATFORD M,SIDOTI,31,7
SPRING K,STIFEL,8,33
SPRINGER L,SINGRES,28,130
SPRONCK D,RBCDOMIN,11,59
SPROULE M,WEISEL,0,3
SPUNGIN J,BEREN,5,14
SPUNGIN J,MERRILL,12,56
SPYCHALLA A,CRAIG,8,25
SQUALI Y,CANTORFZ,50,282
SQUALI Y,JEFFEREG,49,275
SQUALI Y,ROBINSON,61,603
SRETHAPRAMOTE S,MORGAN,45,153
SRIHARAN G,SIDOTI,2,2
SRINIVAS S,CFRANOWM,0,2
SRIRAMAN C,MERRILL,2,1
SRIRAMAN C,STIFEL,1,0
SRIVASTAVA A,BURNS,75,485
SRIVASTAVA A,CFRANOWM,0,10
SRIVASTAVA A,GKM,40,188
SRIVASTAVA S,GOLDMAN,31,65
SRIVASTAVA S,MORGAN,8,39
SRIVATSA J,CHARDAN,100,265
SRIVATSA J,CRUTTEN,13,34
SRIVATSA J,FBOSTON,0,12
SRIVATSA J,TOPEKA,0,1
ST JUSTE H,MIZUSEC,2,0
ST PIERRE K,BERN,20,0
ST. JUSTE H,KEEFE,28,125
ST. JUSTE H,MIZUSEC,153,793
ST. JUSTE H,MORGAN,44,166
ST. JUSTE/SILVERBE,MIZUSEC,0,1
ST. PIERRE K,BERN,53,654
ST. PIERRE K,KSPRES,18,25
ST.JUSTE H,MORGAN,27,0
STABLER P,FBOSTON,9,24
STABLER P,WHEAT,54,102
STACCHINI L,FBOSTON,0,2
STACEY E,CENKSEC,1,1
STACEY E,FINNCAP,1,1
STADLER B,DESJARD,3,5
STAFFORD J,MRNGSTAR,59,0
STAFFORD T,STEPHENS,69,476
STAIGER M,CRUTTEN,7,8
STAITE R,ATLANEQU,39,137
STALAM V,NSTREET,2,3
STALLARD R,MACQUARI,45,185
STALLARD R,MONTSEC,0,5
STALLARD R,RBCDOMIN,57,463
STALLARD R,VERTRESP,57,517
STAMOULIS P,EVANSPA,1,0
STANICKY R,BRILEY,0,1
STANICKY R,CANACCOR,24,74
STANICKY R,GOLDMAN,88,301
STANICKY R,RBCDOMIN,76,388
STANLEY C,DEACON,5,1
STANLEY C,STIFEL,1,5
STANLEY K,CFRANOWM,0,1
STANLEY K,JEFFEREG,0,4
STANLEY K,LAWRENCE,7,29
STANLEY K,WOLFE,56,236
STANLEY R,BEACONS,7,1
STANLEY R,RESEARCH,1,0
STANSEL J,BEREN,1,0
STANSEL J,JPMORGAN,1,5
STANTIAL J,STIFEL,12,116
STANTON A,RBCDOMIN,16,39
STAPHOS G,DAIWAUS,0,2
STAPHOS G,JOLSON,0,1
STAPHOS G,MERRILL,360,2510
STAPHOS G,MONTSEC,6,111
STAPHOS G,RAYMOND,0,1
STAPP A,BGBSEC,7,7
STAPP A,BRILEY,137,375
STAPP A,HILLIARD,86,188
STAPP A,MERION,17,46
STARKE K,CRTCAP,3,1
STARKE L,MORGAN,0,9
