,IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,choice,companyid,brokername,overall_confidence,correct
985,RENCAP,100,0.89,0.898876404494382,2273,27244849.0,Renaissance Capital,0.8944271909999159,True
468,SMBCFRD,10,0.9,0.8888888888888888,1017,39857905.0,SMBC Friend Research Centre,0.8944271909999159,True
884,TAGLICH,10,0.9,0.8888888888888888,152,25218308.0,"Taglich Brothers, Inc.",0.8944271909999159,True
184,GARANTIA,49,0.8775510204081632,0.9069767441860465,4,25232407.0,Credit Suisse,0.8921425711997711,True
596,JANNEY,112,0.8839285714285714,0.898989898989899,89,25231241.0,Janney Montgomery Scott LLC,0.8914274267391917,True
612,ALTIUM,34,0.9411764705882353,0.84375,134,26379283.0,Altium Capital Limited,0.8911327886790069,True
828,PIPL,29,0.9655172413793104,0.8214285714285714,932,40175706.0,Pioneer Investcorp Limited,0.8905635565617213,True
486,SPROTTSE,82,0.8902439024390244,0.8904109589041096,43,25218267.0,Cormark Securities Inc.,0.890327426753365,True
68,AMBITCAP,53,1.0,0.7924528301886793,2344,60865300.0,Ambit Capital,0.8901981971385244,True
307,LEVESQUE,149,0.912751677852349,0.8676470588235294,221,29834361.0,National Bank Financial,0.8899136523982719,True
777,BREBANK,24,0.9583333333333334,0.8260869565217391,528,40174395.0,Biuro maklerskie mBanku,0.8897565210026093,True
394,EDWARDS,129,0.9224806201550387,0.8571428571428571,450,23712015.0,AG Edwards Inc.,0.8892118276421004,True
11,NATLSEC,19,1.0,0.7894736842105263,873,39929162.0,B. Riley Wealth,0.8885233166386386,True
616,ARETE,38,0.9210526315789473,0.8571428571428571,2311,41864325.0,Arete Research Services LLP,0.8885233166386385,True
570,EMKAY,90,0.9333333333333333,0.8452380952380952,630,32876085.0,Emkay Global Financial Services Ltd.,0.8881941729649485,True
648,MCDONALD,165,0.9515151515151515,0.8280254777070064,31,10966122.0,KeyBanc Capital Markets Inc.,0.8876253645985946,True
993,UBM,28,0.9642857142857143,0.8148148148148148,511,27145387.0,UniCredit Research,0.8864052604279183,True
143,GENGHIS,14,0.9285714285714286,0.8461538461538461,2608,100238674.0,Genghis Capital Ltd,0.8864052604279183,True
304,DOLATCAP,42,0.9523809523809523,0.825,1187,40175581.0,Dolat Capital Market Pvt. Ltd.,0.8864052604279183,True
178,NORTHRES,28,1.0,0.7857142857142857,2338,60301564.0,Northcoast Research,0.8864052604279183,True
513,JAYPEE,14,0.9285714285714286,0.8461538461538461,2717,107248441.0,Jaypee International,0.8864052604279183,True
358,CLKA,42,0.8809523809523809,0.8918918918918919,67,209332594.0,"CL King & Associates, Inc.",0.8864052604279182,True
601,WOODCZ,65,0.8923076923076924,0.8793103448275862,155,27245003.0,Wood & Company,0.8857851797221403,True
368,BPI,23,0.8695652173913043,0.9,493,39862044.0,"Banco BPI, S.A.",0.8846517369293828,True
161,JAHANGIR,23,0.9130434782608695,0.8571428571428571,778,39837413.0,JS Global Capital Limited,0.8846517369293827,True
133,KEARNS,41,0.9024390243902439,0.8648648648648649,149,25227903.0,"Paradigm Capital, Inc.",0.8834522085987724,True
396,CENTRUM,59,0.9661016949152542,0.8070175438596491,1643,50197773.0,Centrum Broking Limited,0.8829841544156681,True
109,ITAU,68,0.8823529411764706,0.8833333333333333,758,39925887.0,Itau BBA,0.8828430011649196,True
471,ANALYST,18,0.8888888888888888,0.875,3103,259920978.0,The Analyst Research LLP,0.8819171036881969,True
791,BNIFL,9,0.8888888888888888,0.875,956,39834965.0,PT BNI Securities,0.8819171036881969,True
103,FOUNDA,18,1.0,0.7777777777777778,1108,43506004.0,Foundation Securities Private Limited,0.8819171036881969,True
164,FDMINNET,36,0.9722222222222222,0.8,2341,54628573.0,Ord Minnett Limited,0.8819171036881969,True
914,BAUM,18,0.8888888888888888,0.875,680,39837000.0,George K. Baum & Company,0.8819171036881969,True
455,CHARDAN,18,1.0,0.7777777777777778,2433,83423112.0,"Chardan Capital Markets, LLC",0.8819171036881969,True
112,OKASAN,58,0.8793103448275862,0.8823529411764706,900,39860400.0,Okasan Securities Co. Ltd.,0.8808303292720552,True
686,ANANDFI,89,0.9101123595505618,0.8518518518518519,244,32892380.0,Anand Rathi Shares and Stock Brokers Limited,0.88050036847034,True
23,NEEDHAM,124,0.8709677419354839,0.8888888888888888,35,25217959.0,Needham & Company,0.8798826901281198,True
16,BRADFORD,31,0.9354838709677419,0.8275862068965517,1229,43604983.0,J.C. Bradford & Co.,0.8798826901281197,True
77,GARTNER,84,0.8928571428571429,0.8666666666666667,1299,43608186.0,Schwab Soundview Capital Markets,0.879664438186246,True
300,BAKER,44,0.8636363636363636,0.8947368421052632,174,25230772.0,"Ferris, Baker Watts",0.8790490729915327,True
213,BLAYLOCK,22,0.9545454545454546,0.8095238095238095,1155,40177990.0,Blaylock & Company Inc.,0.8790490729915326,True
573,HCBEGYPT,22,0.9545454545454546,0.8095238095238095,208,32948579.0,HC Brokerage,0.8790490729915326,True
383,RTXSECS,44,0.9545454545454546,0.8095238095238095,103,25231739.0,"Merriman Capital, Inc",0.8790490729915326,True
739,EDELWEIS,79,0.9367088607594937,0.8243243243243243,234,33422847.0,Nuvama Wealth Management Limited,0.8787217413573976,True
454,MLGA,35,0.9428571428571428,0.8181818181818182,33,10845811.0,Morgan Joseph TriArtisan LLC,0.8783100656536799,True
838,GOEPEL,96,0.9375,0.8222222222222222,308,38324280.0,Raymond James Ltd.,0.8779711460710616,True
451,MIZUSEC,74,0.972972972972973,0.7916666666666666,2557,108000140.0,Mizuho Securities USA LLC,0.8776504260070009,True
424,REMIUM,13,0.9230769230769231,0.8333333333333334,232,33444281.0,ABG Sundal Collier Sponsored,0.8770580193070293,True
289,SHOREUK,52,0.9423076923076923,0.8163265306122449,2068,52846230.0,Shore Capital Group Ltd,0.8770580193070293,True
61,INDSEC,26,0.9615384615384616,0.8,1222,44233699.0,Indsec Securities & Finance Ltd.,0.8770580193070292,True
78,RBRTSON,143,0.8601398601398601,0.8943089430894309,978,39950265.0,"Robertson Stephens, Inc.",0.8770580193070292,True
477,TELSEY,13,1.0,0.7692307692307693,2889,28388281.0,Telsey Advisory Group LLC,0.8770580193070292,True
728,REDEYE,13,1.0,0.7692307692307693,970,12056320.0,Redeye,0.8770580193070292,True
717,CATHAY,13,1.0,0.7692307692307693,177,25219217.0,Cathay Financial,0.8770580193070292,True
