IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,overall_confidence,choice,companyid,brokername
ODDO,207,0.9178743961352657,0.8789473684210526,(0.898200025063546+0j),899,26257841.0,ODDO BHF Corporate & Markets
DAIWA,149,0.9060402684563759,0.8888888888888888,(0.8974236053931156+0j),594,39857797.0,Daiwa Securities Co. Ltd.
WNDRLICH,46,1.0,0.8043478260869565,(0.8968544062928813+0j),1370,44235829.0,Wunderlich Securities Inc.
BRYAN,46,0.9347826086956522,0.8604651162790697,(0.8968544062928813+0j),1893,40180292.0,Bryan Garnier & Co
REDBURN,86,0.9534883720930233,0.8414634146341463,(0.8957262870963143+0j),1116,38837143.0,Redburn Atlantic
LIBECAP,101,0.9900990099009901,0.81,(0.8955334711889903+0j),2422,53146586.0,Panmure Liberum
VANKASPR,65,0.9230769230769231,0.8666666666666667,(0.894427190999916+0j),1088,9589274.0,"Wells Fargo Securities, LLC"
TRIMEGFL,25,0.92,0.8695652173913043,(0.894427190999916+0j),955,39834709.0,PT Trimegah Securities Tbk
AVENDUS,15,1.0,0.8,(0.8944271909999159+0j),2280,54033825.0,IL&FS Broking Services Private Limited
ATLANTIK,5,1.0,0.8,(0.8944271909999159+0j),477,28442283.0,J & T Banka
IMARASPR,5,1.0,0.8,(0.8944271909999159+0j),1360,28440054.0,Momentum Securities (Pty) Ltd
RENCAP,100,0.89,0.898876404494382,(0.8944271909999159+0j),2273,27244849.0,Renaissance Capital
COIN,10,0.9,0.8888888888888888,(0.8944271909999159+0j),578,40128322.0,Coinvalores Ccvm Ltda.
SINGRES,35,0.8571428571428571,0.9333333333333333,(0.8944271909999159+0j),1447,37341138.0,Singular Research
EUROBA,15,1.0,0.8,(0.8944271909999159+0j),624,28457407.0,Eurobank Equities Investment Firm S.A.
SMBCFRD,10,0.9,0.8888888888888888,(0.8944271909999159+0j),1017,39857905.0,SMBC Friend Research Centre
STRUDWIC,10,0.9,0.8888888888888888,(0.8944271909999159+0j),56,25217993.0,Anderson & Strudwick
TAGLICH,10,0.9,0.8888888888888888,(0.8944271909999159+0j),152,25218308.0,"Taglich Brothers, Inc."
CLARUS,40,0.975,0.8205128205128205,(0.8944271909999159+0j),187,26750016.0,Clarus Securities Inc.
OLMSTEAD,130,0.9,0.8888888888888888,(0.8944271909999159+0j),129,26256844.0,Wedbush Securities Inc.
MFGLOBAL,40,0.95,0.8421052631578947,(0.8944271909999159+0j),1667,50014438.0,MF Global UK Limited
GARANTIA,49,0.8775510204081632,0.9069767441860465,(0.8921425711997711+0j),4,25232407.0,Credit Suisse
JANNEY,112,0.8839285714285714,0.898989898989899,(0.8914274267391917+0j),89,25231241.0,Janney Montgomery Scott LLC
ALTIUM,34,0.9411764705882353,0.84375,(0.8911327886790069+0j),134,26379283.0,Altium Capital Limited
PIPL,29,0.9655172413793104,0.8214285714285714,(0.8905635565617213+0j),932,40175706.0,Pioneer Investcorp Limited
